Bond Lengths and Angles Analysis
==================================================

BOND LENGTHS (Å):
--------------------
Bond           Step1     Average   StdDev    Final     
Sn1-Sn2        0.5800    0.5800    0.0000    0.5800    
Sn1-Sn3        0.7346    0.7346    0.0000    0.7346    
Sn1-Sn4        0.4532    0.4532    0.0000    0.4532    
Sn1-S5         0.4137    0.4137    0.0000    0.4137    
Sn1-S6         0.7826    0.7826    0.0000    0.7826    
Sn1-S7         0.6229    0.6229    0.0000    0.6229    
Sn1-S8         0.2003    0.2003    0.0000    0.2003    
Sn2-Sn3        0.4533    0.4533    0.0000    0.4533    
Sn2-Sn4        0.7346    0.7346    0.0000    0.7346    
Sn2-S5         0.7826    0.7826    0.0000    0.7826    
Sn2-S6         0.4137    0.4137    0.0000    0.4137    
Sn2-S7         0.2003    0.2003    0.0000    0.2003    
Sn2-S8         0.6229    0.6229    0.0000    0.6229    
Sn3-Sn4        1.0741    1.0741    0.0000    1.0741    
Sn3-S5         1.0736    1.0736    0.0000    1.0736    
Sn3-S6         0.1991    0.1991    0.0000    0.1991    
Sn3-S7         0.6530    0.6530    0.0000    0.6530    
Sn3-S8         0.6406    0.6406    0.0000    0.6406    
Sn4-S5         0.1992    0.1992    0.0000    0.1992    
Sn4-S6         1.0736    1.0736    0.0000    1.0736    
Sn4-S7         0.6406    0.6406    0.0000    0.6406    
Sn4-S8         0.6530    0.6530    0.0000    0.6530    
S5-S6          1.1095    1.1095    0.0000    1.1095    
S5-S7          0.7227    0.7227    0.0000    0.7227    
S5-S8          0.5942    0.5942    0.0000    0.5942    
S6-S7          0.5942    0.5942    0.0000    0.5942    
S6-S8          0.7227    0.7227    0.0000    0.7227    
S7-S8          0.7210    0.7210    0.0000    0.7210    

BOND ANGLES (°):
--------------------
Angle               Step1     Average   StdDev    Final     
Sn2-Sn1-Sn3         38.10     38.10     0.00      38.10     
Sn2-Sn1-Sn4         89.76     89.76     0.00      89.76     
Sn2-Sn1-S5          102.64    102.64    0.00      102.64    
Sn2-Sn1-S6          31.05     31.05     0.00      31.05     
Sn2-Sn1-S7          18.73     18.73     0.00      18.73     
Sn2-Sn1-S8          92.84     92.84     0.00      92.84     
Sn3-Sn1-Sn4         127.86    127.86    0.00      127.86    
