Density of States Data
========================================
Fermi Energy: 3.257754 eV
Number of points: 301

Energy (eV)    Energy-EF (eV)    DOS (states/eV)
--------------------------------------------------
 -132.938100     -136.195854        0.000000
 -132.439700     -135.697454        0.000000
 -131.941200     -135.198954        0.000000
 -131.442800     -134.700554        0.000000
 -130.944400     -134.202154        0.000000
 -130.445900     -133.703654        0.000000
 -129.947500     -133.205254        0.000000
 -129.449100     -132.706854        0.000000
 -128.950700     -132.208454        0.000000
 -128.452200     -131.709954        0.000000
 -127.953800     -131.211554        0.000000
 -127.455400     -130.713154        0.000000
 -126.956900     -130.214654        0.000000
 -126.458500     -129.716254        0.000000
 -125.960100     -129.217854       16.050400
 -125.461700     -128.719454        0.000000
 -124.963200     -128.220954        0.000000
 -124.464800     -127.722554        0.000000
 -123.966400     -127.224154        0.000000
 -123.467900     -126.725654        0.000000
 -122.969500     -126.227254        0.000000
 -122.471100     -125.728854        0.000000
 -121.972600     -125.230354        0.000000
 -121.474200     -124.731954        0.000000
 -120.975800     -124.233554        0.000000
 -120.477400     -123.735154        0.000000
 -119.978900     -123.236654        0.000000
 -119.480500     -122.738254        0.000000
 -118.982100     -122.239854        0.000000
 -118.483600     -121.741354        0.000000
 -117.985200     -121.242954        0.000000
 -117.486800     -120.744554        0.000000
 -116.988400     -120.246154        0.000000
 -116.489900     -119.747654        0.000000
 -115.991500     -119.249254        0.000000
 -115.493100     -118.750854        0.000000
 -114.994600     -118.252354        0.000000
 -114.496200     -117.753954        0.000000
 -113.997800     -117.255554        0.000000
 -113.499300     -116.757054        0.000000
 -113.000900     -116.258654        0.000000
 -112.502500     -115.760254        0.000000
 -112.004100     -115.261854        0.000000
 -111.505600     -114.763354        0.000000
 -111.007200     -114.264954        0.000000
 -110.508800     -113.766554        0.000000
 -110.010300     -113.268054        0.000000
 -109.511900     -112.769654        0.000000
 -109.013500     -112.271254        0.000000
 -108.515100     -111.772854        0.000000
 -108.016600     -111.274354        0.000000
 -107.518200     -110.775954        0.000000
 -107.019800     -110.277554        0.000000
 -106.521300     -109.779054        0.000000
 -106.022900     -109.280654        0.000000
 -105.524500     -108.782254        0.000000
 -105.026000     -108.283754        0.000000
 -104.527600     -107.785354        0.000000
 -104.029200     -107.286954        0.000000
 -103.530800     -106.788554        0.000000
 -103.032300     -106.290054        0.000000
 -102.533900     -105.791654        0.000000
 -102.035500     -105.293254        0.000000
 -101.537000     -104.794754        0.000000
 -101.038600     -104.296354        0.000000
 -100.540200     -103.797954        0.000000
 -100.041800     -103.299554        0.000000
  -99.543300     -102.801054        0.000000
  -99.044900     -102.302654        0.000000
  -98.546500     -101.804254        0.000000
  -98.048000     -101.305754        0.000000
  -97.549600     -100.807354        0.000000
  -97.051200     -100.308954        0.000000
  -96.552700      -99.810454        0.000000
  -96.054300      -99.312054        0.000000
  -95.555900      -98.813654        0.000000
  -95.057500      -98.315254        0.000000
  -94.559000      -97.816754        0.000000
  -94.060600      -97.318354        0.000000
  -93.562200      -96.819954        0.000000
  -93.063700      -96.321454        0.000000
  -92.565300      -95.823054        0.000000
  -92.066900      -95.324654        0.000000
  -91.568500      -94.826254        0.000000
  -91.070000      -94.327754        0.000000
  -90.571600      -93.829354        0.000000
  -90.073200      -93.330954        0.000000
  -89.574700      -92.832454        0.000000
  -89.076300      -92.334054        0.000000
  -88.577900      -91.835654        0.000000
  -88.079400      -91.337154        0.000000
  -87.581000      -90.838754        0.000000
  -87.082600      -90.340354        0.000000
  -86.584200      -89.841954       16.050400
  -86.085700      -89.343454        0.000000
  -85.587300      -88.845054        0.000000
  -85.088900      -88.346654        0.000000
  -84.590400      -87.848154        0.000000
  -84.092000      -87.349754        0.000000
  -83.593600      -86.851354        0.000000
  -83.095100      -86.352854        0.000000
  -82.596700      -85.854454        0.000000
  -82.098300      -85.356054        0.000000
  -81.599900      -84.857654        0.000000
  -81.101400      -84.359154        0.000000
  -80.603000      -83.860754        0.000000
  -80.104600      -83.362354        0.000000
  -79.606100      -82.863854       11.102400
  -79.107700      -82.365454        0.000000
  -78.609300      -81.867054        0.000000
  -78.110900      -81.368654        0.000000
  -77.612400      -80.870154        0.000000
  -77.114000      -80.371754        0.000000
  -76.615600      -79.873354        0.000000
  -76.117100      -79.374854        0.000000
  -75.618700      -78.876454        0.000000
  -75.120300      -78.378054        0.000000
  -74.621800      -77.879554        0.000000
  -74.123400      -77.381154        0.000000
  -73.625000      -76.882754        0.000000
  -73.126600      -76.384354        0.000000
  -72.628100      -75.885854        0.000000
  -72.129700      -75.387454        0.000000
  -71.631300      -74.889054        0.000000
  -71.132800      -74.390554        0.000000
  -70.634400      -73.892154        0.000000
  -70.136000      -73.393754        0.000000
  -69.637600      -72.895354        0.000000
  -69.139100      -72.396854        0.000000
  -68.640700      -71.898454        0.000000
  -68.142300      -71.400054        0.000000
  -67.643800      -70.901554        0.000000
  -67.145400      -70.403154        0.000000
  -66.647000      -69.904754        0.000000
  -66.148500      -69.406254        0.000000
  -65.650100      -68.907854        0.000000
  -65.151700      -68.409454        0.000000
  -64.653300      -67.911054        0.000000
  -64.154800      -67.412554        0.000000
  -63.656400      -66.914154        0.000000
  -63.158000      -66.415754        0.000000
  -62.659500      -65.917254        0.000000
  -62.161100      -65.418854        0.000000
  -61.662700      -64.920454        0.000000
  -61.164300      -64.422054        0.000000
  -60.665800      -63.923554        0.000000
  -60.167400      -63.425154        0.000000
  -59.669000      -62.926754        0.000000
  -59.170500      -62.428254        0.000000
  -58.672100      -61.929854        0.000000
  -58.173700      -61.431454        0.000000
  -57.675200      -60.932954        0.000000
  -57.176800      -60.434554        0.000000
  -56.678400      -59.936154        0.000000
  -56.180000      -59.437754        0.000000
  -55.681500      -58.939254        0.000000
  -55.183100      -58.440854        0.000000
  -54.684700      -57.942454        0.000000
  -54.186200      -57.443954        0.000000
  -53.687800      -56.945554        0.000000
  -53.189400      -56.447154        0.000000
  -52.691000      -55.948754        0.000000
  -52.192500      -55.450254        0.000000
  -51.694100      -54.951854        0.000000
  -51.195700      -54.453454        0.000000
  -50.697200      -53.954954        0.000000
  -50.198800      -53.456554        0.000000
  -49.700400      -52.958154        0.000000
  -49.201900      -52.459654        0.000000
  -48.703500      -51.961254        0.000000
  -48.205100      -51.462854        0.000000
  -47.706700      -50.964454        0.000000
  -47.208200      -50.465954        0.000000
  -46.709800      -49.967554        0.000000
  -46.211400      -49.469154        0.000000
  -45.712900      -48.970654        0.000000
  -45.214500      -48.472254        0.000000
  -44.716100      -47.973854        0.000000
  -44.217700      -47.475454        0.000000
  -43.719200      -46.976954        0.000000
  -43.220800      -46.478554        0.000000
  -42.722400      -45.980154        0.000000
  -42.223900      -45.481654        0.000000
  -41.725500      -44.983254        0.000000
  -41.227100      -44.484854        0.000000
  -40.728600      -43.986354        0.000000
  -40.230200      -43.487954        0.000000
  -39.731800      -42.989554        0.000000
  -39.233400      -42.491154        0.000000
  -38.734900      -41.992654        0.000000
  -38.236500      -41.494254        0.000000
  -37.738100      -40.995854        0.000000
  -37.239600      -40.497354        0.000000
  -36.741200      -39.998954        0.000000
  -36.242800      -39.500554        0.000000
  -35.744400      -39.002154        0.000000
  -35.245900      -38.503654        0.000000
  -34.747500      -38.005254        0.000000
  -34.249100      -37.506854        0.000000
  -33.750600      -37.008354        0.000000
  -33.252200      -36.509954        0.000000
  -32.753800      -36.011554        0.000000
